task,suite,experiment,cell_type,scope,epochs,accuracy,precision,recall,f1,best_epoch,best_accuracy,final_loss,notes,result_dir
classification,full,cls_gru,gru,25000 train / 25000 test,10,0.8882,0.8872,0.8894,0.8883,8,0.8907,,Best full classification model,result/stage_4_result/classification_20260520_031118
classification,full,cls_lstm,lstm,25000 train / 25000 test,10,0.8839,0.8877,0.8790,0.8834,10,0.8839,,Close second on full classification,result/stage_4_result/classification_20260520_032838
classification,full,cls_rnn,rnn,25000 train / 25000 test,10,0.7506,0.7601,0.7322,0.7459,8,0.7506,,Plain RNN much weaker,result/stage_4_result/classification_20260520_034028
classification,ablation,cls_gru_ab_base,gru,4000 train/class / 1500 test/class,5,0.8410,0.8183,0.8767,0.8465,5,0.8410,,Best classification ablation,result/stage_4_result/ablation_classification_20260520_025659
classification,ablation,cls_gru_no_bidir,gru,4000 train/class / 1500 test/class,5,0.8357,0.8042,0.8873,0.8437,5,0.8357,,Close and faster than bidirectional,result/stage_4_result/ablation_classification_20260520_025659
generation,full,gen_gru,gru,1620 jokes,50,,,,,,,1.6352,Best generation loss and best low-temperature samples,result/stage_4_result/generation_20260520_030713
generation,full,gen_rnn,rnn,1620 jokes,50,,,,,,,2.1537,Fast but sample quality less reliable,result/stage_4_result/generation_20260520_030713
generation,full,gen_lstm,lstm,1620 jokes,50,,,,,,,2.2296,Better samples after full training but worse loss than GRU,result/stage_4_result/generation_20260520_030713
generation,ablation,gen_gru_ab_base,gru,1200 jokes,25,,,,,,,2.7059,Base GRU generation ablation,result/stage_4_result/ablation_generation_20260520_030938
generation,ablation,gen_gru_hidden128,gru,1200 jokes,25,,,,,,,4.0368,Hidden size 128 hurt loss,result/stage_4_result/ablation_generation_20260520_030938
